job_title,industry,job_description,skills_required,experience_required
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Medical Terminology, Python, Clinical Data Analysis, Biostatistics, Patient Care, Healthcare Analytics, Research with 2+ years experience.","Medical Terminology, Python, Clinical Data Analysis, Biostatistics, Patient Care, Healthcare Analytics, Research",2
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Accounting, Forecasting, Financial Analysis, Budgeting, Investment Modeling, SQL, Taxation with 7+ years experience.","Accounting, Forecasting, Financial Analysis, Budgeting, Investment Modeling, SQL, Taxation",7
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Node.js, C++, CI/CD, Python with 4+ years experience.","Node.js, C++, CI/CD, Python",4
Instructional Designer,Education,"Instructional Designer role in Education requiring skills: Teaching, Research, Educational Technology, Communication with 6+ years experience.","Teaching, Research, Educational Technology, Communication",6
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: Project Management, CAD, PLC Programming, AutoCAD, Python with 8+ years experience.","Project Management, CAD, PLC Programming, AutoCAD, Python",8
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Social Media, Email Marketing, Google Analytics with 10+ years experience.","Social Media, Email Marketing, Google Analytics",10
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Lead Generation, Business Development, Presentation Skills, Sales Strategy, CRM, Excel, Negotiation with 4+ years experience.","Lead Generation, Business Development, Presentation Skills, Sales Strategy, CRM, Excel, Negotiation",4
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Patient Care, Biostatistics, Clinical Data Analysis, Python, Medical Terminology, Research, Healthcare Analytics with 2+ years experience.","Patient Care, Biostatistics, Clinical Data Analysis, Python, Medical Terminology, Research, Healthcare Analytics",2
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: C++, Project Management, CAD, Robotics, AutoCAD, PLC Programming with 8+ years experience.","C++, Project Management, CAD, Robotics, AutoCAD, PLC Programming",8
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Cloud, Java, C++, Kubernetes with 9+ years experience.","Cloud, Java, C++, Kubernetes",9
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Docker, SQL, Node.js, Kubernetes, CI/CD, Java, Python with 8+ years experience.","Docker, SQL, Node.js, Kubernetes, CI/CD, Java, Python",8
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: Microservices, Node.js, Java, C++, Docker with 9+ years experience.","Microservices, Node.js, Java, C++, Docker",9
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: MATLAB, Project Management, PLC Programming with 5+ years experience.","MATLAB, Project Management, PLC Programming",5
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Agile, Project Management, Supply Chain, Logistics, Lean Six Sigma, Process Improvement, Excel with 6+ years experience.","Agile, Project Management, Supply Chain, Logistics, Lean Six Sigma, Process Improvement, Excel",6
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Healthcare Analytics, Clinical Data Analysis, Patient Care, Research, Python, Medical Terminology, Biostatistics with 4+ years experience.","Healthcare Analytics, Clinical Data Analysis, Patient Care, Research, Python, Medical Terminology, Biostatistics",4
Lab Technician,Healthcare,"Lab Technician role in Healthcare requiring skills: Medical Terminology, Patient Care, Research, Clinical Data Analysis with 9+ years experience.","Medical Terminology, Patient Care, Research, Clinical Data Analysis",9
Auditor,Finance,"Auditor role in Finance requiring skills: Taxation, Budgeting, Excel, Accounting, SQL, Risk Management with 8+ years experience.","Taxation, Budgeting, Excel, Accounting, SQL, Risk Management",8
Account Executive,Sales,"Account Executive role in Sales requiring skills: Excel, Sales Strategy, Lead Generation with 4+ years experience.","Excel, Sales Strategy, Lead Generation",4
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: React, Java, Git with 8+ years experience.","React, Java, Git",8
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Robotics, PLC Programming, Project Management, Python, SolidWorks with 10+ years experience.","Robotics, PLC Programming, Project Management, Python, SolidWorks",10
Business Analyst,Data,"Business Analyst role in Data requiring skills: PyTorch, R, Excel with 7+ years experience.","PyTorch, R, Excel",7
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: SQL, Java, C++ with 4+ years experience.","SQL, Java, C++",4
Project Manager,Operations,"Project Manager role in Operations requiring skills: Agile, Project Management, Process Improvement, Lean Six Sigma, Logistics, Supply Chain, Excel with 6+ years experience.","Agile, Project Management, Process Improvement, Lean Six Sigma, Logistics, Supply Chain, Excel",6
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Excel, Sales Strategy, Negotiation, CRM with 6+ years experience.","Excel, Sales Strategy, Negotiation, CRM",6
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Marketing Strategy, SEO, Excel, Brand Management with 7+ years experience.","Marketing Strategy, SEO, Excel, Brand Management",7
Data Scientist,Data,"Data Scientist role in Data requiring skills: Deep Learning, Tableau, Machine Learning with 5+ years experience.","Deep Learning, Tableau, Machine Learning",5
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Brand Management, Google Analytics, Content Marketing, Excel with 9+ years experience.","Brand Management, Google Analytics, Content Marketing, Excel",9
Data Scientist,Data,"Data Scientist role in Data requiring skills: Statistics, Big Data, Spark with 8+ years experience.","Statistics, Big Data, Spark",8
Data Engineer,Data,"Data Engineer role in Data requiring skills: Python, Excel, Tableau, Machine Learning, PowerBI with 3+ years experience.","Python, Excel, Tableau, Machine Learning, PowerBI",3
AI Researcher,Data,"AI Researcher role in Data requiring skills: Tableau, Big Data, Deep Learning, Python, NLP with 5+ years experience.","Tableau, Big Data, Deep Learning, Python, NLP",5
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Email Marketing, PPC, SEO with 8+ years experience.","Email Marketing, PPC, SEO",8
Professor,Education,"Professor role in Education requiring skills: Teaching, Python, Communication, Educational Technology, Curriculum Design, Research with 4+ years experience.","Teaching, Python, Communication, Educational Technology, Curriculum Design, Research",4
Accountant,Finance,"Accountant role in Finance requiring skills: Taxation, Financial Analysis, Budgeting, SQL, Risk Management, Excel, Forecasting with 6+ years experience.","Taxation, Financial Analysis, Budgeting, SQL, Risk Management, Excel, Forecasting",6
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Linux, CI/CD, Python, React, Kubernetes, Java with 5+ years experience.","Linux, CI/CD, Python, React, Kubernetes, Java",5
Education Consultant,Education,"Education Consultant role in Education requiring skills: Teaching, Communication, Curriculum Design, Educational Technology, Research, Python with 8+ years experience.","Teaching, Communication, Curriculum Design, Educational Technology, Research, Python",8
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: Python, Robotics, MATLAB with 8+ years experience.","Python, Robotics, MATLAB",8
Data Analyst,Data,"Data Analyst role in Data requiring skills: Excel, Pandas, Spark, NLP, PowerBI, SQL, Statistics with 10+ years experience.","Excel, Pandas, Spark, NLP, PowerBI, SQL, Statistics",10
Education Consultant,Education,"Education Consultant role in Education requiring skills: Research, Educational Technology, Communication, Teaching, Curriculum Design with 2+ years experience.","Research, Educational Technology, Communication, Teaching, Curriculum Design",2
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Lean Six Sigma, Supply Chain, Logistics with 2+ years experience.","Lean Six Sigma, Supply Chain, Logistics",2
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Sales Strategy, Lead Generation, CRM, Negotiation, Business Development, Presentation Skills, Excel with 2+ years experience.","Sales Strategy, Lead Generation, CRM, Negotiation, Business Development, Presentation Skills, Excel",2
Professor,Education,"Professor role in Education requiring skills: Research, Curriculum Design, Communication, Python with 3+ years experience.","Research, Curriculum Design, Communication, Python",3
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: SolidWorks, Python, Project Management, Robotics, MATLAB, CAD, C++ with 4+ years experience.","SolidWorks, Python, Project Management, Robotics, MATLAB, CAD, C++",4
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: SolidWorks, Robotics, MATLAB, AutoCAD, C++, PLC Programming, Project Management with 5+ years experience.","SolidWorks, Robotics, MATLAB, AutoCAD, C++, PLC Programming, Project Management",5
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Negotiation, Excel, Lead Generation, Presentation Skills, Sales Strategy with 8+ years experience.","Negotiation, Excel, Lead Generation, Presentation Skills, Sales Strategy",8
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: C++, CI/CD, React, SQL with 4+ years experience.","C++, CI/CD, React, SQL",4
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: SQL, Investment Modeling, Excel, Financial Analysis, Accounting with 8+ years experience.","SQL, Investment Modeling, Excel, Financial Analysis, Accounting",8
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: AutoCAD, SolidWorks, Python, CAD, Robotics with 8+ years experience.","AutoCAD, SolidWorks, Python, CAD, Robotics",8
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Python, Patient Care, Medical Terminology, Clinical Data Analysis with 9+ years experience.","Python, Patient Care, Medical Terminology, Clinical Data Analysis",9
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Medical Terminology, Clinical Data Analysis, Patient Care, Python with 8+ years experience.","Medical Terminology, Clinical Data Analysis, Patient Care, Python",8
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: SEO, PPC, Excel, Marketing Strategy, Google Analytics, Brand Management with 6+ years experience.","SEO, PPC, Excel, Marketing Strategy, Google Analytics, Brand Management",6
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: Linux, Java, CI/CD, C++, Python with 7+ years experience.","Linux, Java, CI/CD, C++, Python",7
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Project Management, Supply Chain, Agile, Process Improvement, Logistics, Lean Six Sigma with 7+ years experience.","Project Management, Supply Chain, Agile, Process Improvement, Logistics, Lean Six Sigma",7
Data Engineer,Data,"Data Engineer role in Data requiring skills: R, Tableau, PyTorch, TensorFlow, PowerBI, Spark, NLP with 6+ years experience.","R, Tableau, PyTorch, TensorFlow, PowerBI, Spark, NLP",6
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Presentation Skills, Negotiation, Excel, Sales Strategy, CRM, Lead Generation with 2+ years experience.","Presentation Skills, Negotiation, Excel, Sales Strategy, CRM, Lead Generation",2
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Agile, Supply Chain, Lean Six Sigma, Excel, Process Improvement with 10+ years experience.","Agile, Supply Chain, Lean Six Sigma, Excel, Process Improvement",10
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: SQL, Node.js, Python, C++, Linux with 3+ years experience.","SQL, Node.js, Python, C++, Linux",3
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Google Analytics, Social Media, PPC with 6+ years experience.","Google Analytics, Social Media, PPC",6
Instructional Designer,Education,"Instructional Designer role in Education requiring skills: Research, Educational Technology, Python, Communication, Teaching, Curriculum Design with 2+ years experience.","Research, Educational Technology, Python, Communication, Teaching, Curriculum Design",2
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Investment Modeling, Budgeting, Risk Management, Excel, SQL, Financial Analysis, Taxation with 2+ years experience.","Investment Modeling, Budgeting, Risk Management, Excel, SQL, Financial Analysis, Taxation",2
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: Linux, Cloud, React, Java with 3+ years experience.","Linux, Cloud, React, Java",3
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: C++, SQL, Node.js, Git, Cloud, Docker, Kubernetes with 3+ years experience.","C++, SQL, Node.js, Git, Cloud, Docker, Kubernetes",3
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: PLC Programming, Python, AutoCAD, SolidWorks, CAD, Project Management, Robotics with 6+ years experience.","PLC Programming, Python, AutoCAD, SolidWorks, CAD, Project Management, Robotics",6
Professor,Education,"Professor role in Education requiring skills: Curriculum Design, Python, Teaching, Communication, Educational Technology, Research with 9+ years experience.","Curriculum Design, Python, Teaching, Communication, Educational Technology, Research",9
Clinical Researcher,Healthcare,"Clinical Researcher role in Healthcare requiring skills: Healthcare Analytics, Biostatistics, Python, Medical Terminology, Research, Clinical Data Analysis, Patient Care with 5+ years experience.","Healthcare Analytics, Biostatistics, Python, Medical Terminology, Research, Clinical Data Analysis, Patient Care",5
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Excel, CRM, Lead Generation, Negotiation with 10+ years experience.","Excel, CRM, Lead Generation, Negotiation",10
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Lean Six Sigma, Process Improvement, Logistics, Supply Chain, Project Management, Excel, Agile with 5+ years experience.","Lean Six Sigma, Process Improvement, Logistics, Supply Chain, Project Management, Excel, Agile",5
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: Robotics, AutoCAD, C++, Python, PLC Programming, MATLAB with 9+ years experience.","Robotics, AutoCAD, C++, Python, PLC Programming, MATLAB",9
Business Analyst,Data,"Business Analyst role in Data requiring skills: Tableau, Statistics, Python, Big Data, Deep Learning, Spark with 7+ years experience.","Tableau, Statistics, Python, Big Data, Deep Learning, Spark",7
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Node.js, Agile, Docker, Cloud, CI/CD, Python, SQL with 6+ years experience.","Node.js, Agile, Docker, Cloud, CI/CD, Python, SQL",6
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: Project Management, AutoCAD, C++, MATLAB, SolidWorks with 10+ years experience.","Project Management, AutoCAD, C++, MATLAB, SolidWorks",10
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Excel, Sales Strategy, Presentation Skills, CRM, Business Development, Negotiation with 9+ years experience.","Excel, Sales Strategy, Presentation Skills, CRM, Business Development, Negotiation",9
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Biostatistics, Patient Care, Clinical Data Analysis, Healthcare Analytics, Research with 10+ years experience.","Biostatistics, Patient Care, Clinical Data Analysis, Healthcare Analytics, Research",10
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Kubernetes, Linux, C++ with 10+ years experience.","Kubernetes, Linux, C++",10
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: React, Java, Agile, Linux, Kubernetes, CI/CD with 7+ years experience.","React, Java, Agile, Linux, Kubernetes, CI/CD",7
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Patient Care, Research, Medical Terminology, Python, Healthcare Analytics, Clinical Data Analysis with 7+ years experience.","Patient Care, Research, Medical Terminology, Python, Healthcare Analytics, Clinical Data Analysis",7
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Supply Chain, Project Management, Process Improvement, Logistics, Lean Six Sigma, Excel, Agile with 2+ years experience.","Supply Chain, Project Management, Process Improvement, Logistics, Lean Six Sigma, Excel, Agile",2
Teacher,Education,"Teacher role in Education requiring skills: Teaching, Research, Python, Communication, Curriculum Design with 5+ years experience.","Teaching, Research, Python, Communication, Curriculum Design",5
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: Python, Robotics, Project Management, MATLAB, AutoCAD, C++ with 10+ years experience.","Python, Robotics, Project Management, MATLAB, AutoCAD, C++",10
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Taxation, Accounting, Forecasting, Risk Management, SQL, Investment Modeling with 5+ years experience.","Taxation, Accounting, Forecasting, Risk Management, SQL, Investment Modeling",5
Data Engineer,Data,"Data Engineer role in Data requiring skills: SQL, TensorFlow, Machine Learning, Pandas, Excel, Statistics with 9+ years experience.","SQL, TensorFlow, Machine Learning, Pandas, Excel, Statistics",9
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: C++, Cloud, Git, Node.js, Kubernetes with 3+ years experience.","C++, Cloud, Git, Node.js, Kubernetes",3
Accountant,Finance,"Accountant role in Finance requiring skills: Excel, Financial Analysis, Investment Modeling, SQL, Taxation, Budgeting, Forecasting with 3+ years experience.","Excel, Financial Analysis, Investment Modeling, SQL, Taxation, Budgeting, Forecasting",3
Auditor,Finance,"Auditor role in Finance requiring skills: Budgeting, Financial Analysis, Accounting with 4+ years experience.","Budgeting, Financial Analysis, Accounting",4
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Agile, Supply Chain, Logistics with 8+ years experience.","Agile, Supply Chain, Logistics",8
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Business Development, Negotiation, CRM, Sales Strategy, Excel, Presentation Skills, Lead Generation with 8+ years experience.","Business Development, Negotiation, CRM, Sales Strategy, Excel, Presentation Skills, Lead Generation",8
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: Node.js, SQL, CI/CD, Cloud, Microservices, React with 4+ years experience.","Node.js, SQL, CI/CD, Cloud, Microservices, React",4
Teacher,Education,"Teacher role in Education requiring skills: Educational Technology, Curriculum Design, Teaching, Communication, Python with 9+ years experience.","Educational Technology, Curriculum Design, Teaching, Communication, Python",9
Brand Manager,Marketing,"Brand Manager role in Marketing requiring skills: SEO, Content Marketing, Google Analytics, Brand Management, PPC, Email Marketing with 8+ years experience.","SEO, Content Marketing, Google Analytics, Brand Management, PPC, Email Marketing",8
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Biostatistics, Healthcare Analytics, Clinical Data Analysis, Python with 6+ years experience.","Biostatistics, Healthcare Analytics, Clinical Data Analysis, Python",6
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Logistics, Agile, Lean Six Sigma with 6+ years experience.","Logistics, Agile, Lean Six Sigma",6
Civil Engineer,Engineering,"Civil Engineer role in Engineering requiring skills: MATLAB, Robotics, CAD, SolidWorks with 6+ years experience.","MATLAB, Robotics, CAD, SolidWorks",6
Auditor,Finance,"Auditor role in Finance requiring skills: Budgeting, Taxation, Risk Management, Accounting with 8+ years experience.","Budgeting, Taxation, Risk Management, Accounting",8
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Lead Generation, Presentation Skills, Negotiation, Business Development, CRM with 9+ years experience.","Lead Generation, Presentation Skills, Negotiation, Business Development, CRM",9
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Lean Six Sigma, Process Improvement, Supply Chain, Logistics with 8+ years experience.","Lean Six Sigma, Process Improvement, Supply Chain, Logistics",8
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Python, Biostatistics, Healthcare Analytics, Patient Care, Research, Medical Terminology with 7+ years experience.","Python, Biostatistics, Healthcare Analytics, Patient Care, Research, Medical Terminology",7
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Agile, Logistics, Supply Chain, Process Improvement with 2+ years experience.","Agile, Logistics, Supply Chain, Process Improvement",2
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Excel, Lean Six Sigma, Agile, Process Improvement, Logistics with 4+ years experience.","Excel, Lean Six Sigma, Agile, Process Improvement, Logistics",4
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Email Marketing, Social Media, Brand Management, PPC with 9+ years experience.","Email Marketing, Social Media, Brand Management, PPC",9
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Biostatistics, Clinical Data Analysis, Research, Medical Terminology, Patient Care, Healthcare Analytics, Python with 7+ years experience.","Biostatistics, Clinical Data Analysis, Research, Medical Terminology, Patient Care, Healthcare Analytics, Python",7
Teacher,Education,"Teacher role in Education requiring skills: Research, Teaching, Python, Educational Technology with 9+ years experience.","Research, Teaching, Python, Educational Technology",9
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: MATLAB, C++, Project Management with 7+ years experience.","MATLAB, C++, Project Management",7
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Linux, C++, CI/CD, Node.js with 6+ years experience.","Linux, C++, CI/CD, Node.js",6
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Sales Strategy, Presentation Skills, Lead Generation, Excel, CRM with 9+ years experience.","Sales Strategy, Presentation Skills, Lead Generation, Excel, CRM",9
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: Python, CAD, SolidWorks, Robotics, MATLAB, C++ with 3+ years experience.","Python, CAD, SolidWorks, Robotics, MATLAB, C++",3
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: SolidWorks, PLC Programming, AutoCAD, CAD, MATLAB, Robotics, C++ with 3+ years experience.","SolidWorks, PLC Programming, AutoCAD, CAD, MATLAB, Robotics, C++",3
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Biostatistics, Patient Care, Python, Clinical Data Analysis with 10+ years experience.","Biostatistics, Patient Care, Python, Clinical Data Analysis",10
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Research, Clinical Data Analysis, Python with 9+ years experience.","Research, Clinical Data Analysis, Python",9
ML Engineer,Data,"ML Engineer role in Data requiring skills: NLP, Tableau, Excel, R, Statistics, Spark with 4+ years experience.","NLP, Tableau, Excel, R, Statistics, Spark",4
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Logistics, Supply Chain, Lean Six Sigma, Agile, Process Improvement, Project Management, Excel with 3+ years experience.","Logistics, Supply Chain, Lean Six Sigma, Agile, Process Improvement, Project Management, Excel",3
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: Python, AutoCAD, CAD, PLC Programming, Project Management, Robotics, C++ with 9+ years experience.","Python, AutoCAD, CAD, PLC Programming, Project Management, Robotics, C++",9
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: SQL, Accounting, Risk Management with 7+ years experience.","SQL, Accounting, Risk Management",7
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Microservices, React, Agile, Node.js, Java with 6+ years experience.","Microservices, React, Agile, Node.js, Java",6
Data Analyst,Data,"Data Analyst role in Data requiring skills: NLP, Statistics, Deep Learning, SQL, Big Data with 2+ years experience.","NLP, Statistics, Deep Learning, SQL, Big Data",2
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Forecasting, Risk Management, Accounting, Financial Analysis with 6+ years experience.","Forecasting, Risk Management, Accounting, Financial Analysis",6
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: Robotics, CAD, C++, Project Management, Python with 7+ years experience.","Robotics, CAD, C++, Project Management, Python",7
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Java, Python, SQL, Agile with 4+ years experience.","Java, Python, SQL, Agile",4
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: CAD, SolidWorks, C++, Project Management, MATLAB with 4+ years experience.","CAD, SolidWorks, C++, Project Management, MATLAB",4
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Brand Management, Excel, PPC, Marketing Strategy, Google Analytics, Content Marketing, SEO with 7+ years experience.","Brand Management, Excel, PPC, Marketing Strategy, Google Analytics, Content Marketing, SEO",7
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Biostatistics, Healthcare Analytics, Python, Clinical Data Analysis, Medical Terminology with 7+ years experience.","Biostatistics, Healthcare Analytics, Python, Clinical Data Analysis, Medical Terminology",7
Auditor,Finance,"Auditor role in Finance requiring skills: Budgeting, Accounting, Financial Analysis, Taxation, SQL with 10+ years experience.","Budgeting, Accounting, Financial Analysis, Taxation, SQL",10
Auditor,Finance,"Auditor role in Finance requiring skills: Budgeting, Excel, Accounting with 9+ years experience.","Budgeting, Excel, Accounting",9
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Lean Six Sigma, Supply Chain, Excel, Process Improvement, Logistics, Agile with 10+ years experience.","Lean Six Sigma, Supply Chain, Excel, Process Improvement, Logistics, Agile",10
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Business Development, Lead Generation, CRM with 10+ years experience.","Business Development, Lead Generation, CRM",10
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: AutoCAD, Robotics, SolidWorks, Python, MATLAB, C++, Project Management with 9+ years experience.","AutoCAD, Robotics, SolidWorks, Python, MATLAB, C++, Project Management",9
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Accounting, Taxation, SQL, Risk Management with 3+ years experience.","Accounting, Taxation, SQL, Risk Management",3
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: React, Node.js, Git, Agile, Kubernetes, SQL, CI/CD with 10+ years experience.","React, Node.js, Git, Agile, Kubernetes, SQL, CI/CD",10
Professor,Education,"Professor role in Education requiring skills: Educational Technology, Research, Python, Curriculum Design with 8+ years experience.","Educational Technology, Research, Python, Curriculum Design",8
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: CI/CD, Python, Agile, Node.js, Microservices, React with 8+ years experience.","CI/CD, Python, Agile, Node.js, Microservices, React",8
Data Analyst,Data,"Data Analyst role in Data requiring skills: SQL, Excel, Deep Learning, NLP, TensorFlow with 5+ years experience.","SQL, Excel, Deep Learning, NLP, TensorFlow",5
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Negotiation, Presentation Skills, CRM with 8+ years experience.","Negotiation, Presentation Skills, CRM",8
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Biostatistics, Medical Terminology, Clinical Data Analysis, Healthcare Analytics with 7+ years experience.","Biostatistics, Medical Terminology, Clinical Data Analysis, Healthcare Analytics",7
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: C++, Agile, Node.js, Kubernetes, Docker with 6+ years experience.","C++, Agile, Node.js, Kubernetes, Docker",6
Project Manager,Operations,"Project Manager role in Operations requiring skills: Supply Chain, Project Management, Excel with 8+ years experience.","Supply Chain, Project Management, Excel",8
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: CI/CD, Python, Git, Node.js, Kubernetes with 2+ years experience.","CI/CD, Python, Git, Node.js, Kubernetes",2
Teacher,Education,"Teacher role in Education requiring skills: Research, Curriculum Design, Educational Technology, Python, Communication with 7+ years experience.","Research, Curriculum Design, Educational Technology, Python, Communication",7
Auditor,Finance,"Auditor role in Finance requiring skills: Forecasting, Accounting, Taxation, Budgeting, Risk Management, Investment Modeling, Excel with 4+ years experience.","Forecasting, Accounting, Taxation, Budgeting, Risk Management, Investment Modeling, Excel",4
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Brand Management, PPC, Excel, Google Analytics, SEO, Social Media, Email Marketing with 6+ years experience.","Brand Management, PPC, Excel, Google Analytics, SEO, Social Media, Email Marketing",6
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Excel, Risk Management, Taxation, Budgeting, Accounting with 10+ years experience.","Excel, Risk Management, Taxation, Budgeting, Accounting",10
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: Agile, Kubernetes, Microservices, Docker with 10+ years experience.","Agile, Kubernetes, Microservices, Docker",10
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: AutoCAD, MATLAB, CAD, C++, PLC Programming, Python with 5+ years experience.","AutoCAD, MATLAB, CAD, C++, PLC Programming, Python",5
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Agile, Java, C++, CI/CD, Git, Docker with 10+ years experience.","Agile, Java, C++, CI/CD, Git, Docker",10
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Project Management, Robotics, CAD with 4+ years experience.","Project Management, Robotics, CAD",4
Data Scientist,Data,"Data Scientist role in Data requiring skills: Statistics, Excel, SQL, R, Big Data with 7+ years experience.","Statistics, Excel, SQL, R, Big Data",7
