job_title,industry,job_description,skills_required,experience_required,job_description_clean,skills_required_list
Accountant,Finance,"Accountant role in Finance requiring skills: Accounting, Budgeting, Financial Analysis, Investment Modeling with 8+ years experience.","Accounting, Budgeting, Financial Analysis, Investment Modeling",8,"accountant role in finance requiring skills accounting, budgeting, financial analysis, investment modeling with 8 years experience","['Accounting', 'Budgeting', 'Financial Analysis', 'Investment Modeling']"
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Node.js, CI/CD, SQL, C++, Cloud, Java with 6+ years experience.","Node.js, CI/CD, SQL, C++, Cloud, Java",6,"frontend developer role in technology requiring skills nodejs, cicd, sql, c, cloud, java with 6 years experience","['Node.js', 'CI/CD', 'SQL', 'C++', 'Cloud', 'Java']"
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Java, Microservices, Cloud, React with 2+ years experience.","Java, Microservices, Cloud, React",2,"software engineer role in technology requiring skills java, microservices, cloud, react with 2 years experience","['Java', 'Microservices', 'Cloud', 'React']"
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Social Media, Marketing Strategy, Email Marketing, Content Marketing, SEO with 4+ years experience.","Social Media, Marketing Strategy, Email Marketing, Content Marketing, SEO",4,"marketing manager role in marketing requiring skills social media, marketing strategy, email marketing, content marketing, seo with 4 years experience","['Social Media', 'Marketing Strategy', 'Email Marketing', 'Content Marketing', 'SEO']"
Project Manager,Operations,"Project Manager role in Operations requiring skills: Excel, Supply Chain, Lean Six Sigma, Agile, Process Improvement, Logistics with 5+ years experience.","Excel, Supply Chain, Lean Six Sigma, Agile, Process Improvement, Logistics",5,"project manager role in operations requiring skills excel, supply chain, lean six sigma, agile, process improvement, logistics with 5 years experience","['Excel', 'Supply Chain', 'Lean Six Sigma', 'Agile', 'Process Improvement', 'Logistics']"
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: C++, Robotics, PLC Programming, MATLAB, Python, AutoCAD with 3+ years experience.","C++, Robotics, PLC Programming, MATLAB, Python, AutoCAD",3,"electrical engineer role in engineering requiring skills c, robotics, plc programming, matlab, python, autocad with 3 years experience","['C++', 'Robotics', 'PLC Programming', 'MATLAB', 'Python', 'AutoCAD']"
Education Consultant,Education,"Education Consultant role in Education requiring skills: Teaching, Communication, Educational Technology, Python with 5+ years experience.","Teaching, Communication, Educational Technology, Python",5,"education consultant role in education requiring skills teaching, communication, educational technology, python with 5 years experience","['Teaching', 'Communication', 'Educational Technology', 'Python']"
Project Manager,Operations,"Project Manager role in Operations requiring skills: Lean Six Sigma, Process Improvement, Agile, Excel with 8+ years experience.","Lean Six Sigma, Process Improvement, Agile, Excel",8,"project manager role in operations requiring skills lean six sigma, process improvement, agile, excel with 8 years experience","['Lean Six Sigma', 'Process Improvement', 'Agile', 'Excel']"
Brand Manager,Marketing,"Brand Manager role in Marketing requiring skills: Google Analytics, Excel, SEO, PPC, Content Marketing, Email Marketing, Marketing Strategy with 7+ years experience.","Google Analytics, Excel, SEO, PPC, Content Marketing, Email Marketing, Marketing Strategy",7,"brand manager role in marketing requiring skills google analytics, excel, seo, ppc, content marketing, email marketing, marketing strategy with 7 years experience","['Google Analytics', 'Excel', 'SEO', 'PPC', 'Content Marketing', 'Email Marketing', 'Marketing Strategy']"
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Supply Chain, Project Management, Lean Six Sigma, Logistics, Process Improvement with 10+ years experience.","Supply Chain, Project Management, Lean Six Sigma, Logistics, Process Improvement",10,"supply chain analyst role in operations requiring skills supply chain, project management, lean six sigma, logistics, process improvement with 10 years experience","['Supply Chain', 'Project Management', 'Lean Six Sigma', 'Logistics', 'Process Improvement']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Python, CAD, SolidWorks, Robotics, C++ with 10+ years experience.","Python, CAD, SolidWorks, Robotics, C++",10,"robotics engineer role in engineering requiring skills python, cad, solidworks, robotics, c with 10 years experience","['Python', 'CAD', 'SolidWorks', 'Robotics', 'C++']"
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: AutoCAD, Python, PLC Programming, C++, CAD, MATLAB with 7+ years experience.","AutoCAD, Python, PLC Programming, C++, CAD, MATLAB",7,"mechanical engineer role in engineering requiring skills autocad, python, plc programming, c, cad, matlab with 7 years experience","['AutoCAD', 'Python', 'PLC Programming', 'C++', 'CAD', 'MATLAB']"
Teacher,Education,"Teacher role in Education requiring skills: Python, Research, Communication with 2+ years experience.","Python, Research, Communication",2,"teacher role in education requiring skills python, research, communication with 2 years experience","['Python', 'Research', 'Communication']"
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: SQL, CI/CD, Microservices, Cloud with 7+ years experience.","SQL, CI/CD, Microservices, Cloud",7,"qa engineer role in technology requiring skills sql, cicd, microservices, cloud with 7 years experience","['SQL', 'CI/CD', 'Microservices', 'Cloud']"
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: C++, CI/CD, Linux, React, Microservices, Agile, Git with 7+ years experience.","C++, CI/CD, Linux, React, Microservices, Agile, Git",7,"frontend developer role in technology requiring skills c, cicd, linux, react, microservices, agile, git with 7 years experience","['C++', 'CI/CD', 'Linux', 'React', 'Microservices', 'Agile', 'Git']"
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Excel, Accounting, Investment Modeling with 2+ years experience.","Excel, Accounting, Investment Modeling",2,"investment analyst role in finance requiring skills excel, accounting, investment modeling with 2 years experience","['Excel', 'Accounting', 'Investment Modeling']"
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Medical Terminology, Python, Clinical Data Analysis, Biostatistics, Patient Care, Healthcare Analytics, Research with 2+ years experience.","Medical Terminology, Python, Clinical Data Analysis, Biostatistics, Patient Care, Healthcare Analytics, Research",2,"biostatistician role in healthcare requiring skills medical terminology, python, clinical data analysis, biostatistics, patient care, healthcare analytics, research with 2 years experience","['Medical Terminology', 'Python', 'Clinical Data Analysis', 'Biostatistics', 'Patient Care', 'Healthcare Analytics', 'Research']"
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Accounting, Forecasting, Financial Analysis, Budgeting, Investment Modeling, SQL, Taxation with 7+ years experience.","Accounting, Forecasting, Financial Analysis, Budgeting, Investment Modeling, SQL, Taxation",7,"investment analyst role in finance requiring skills accounting, forecasting, financial analysis, budgeting, investment modeling, sql, taxation with 7 years experience","['Accounting', 'Forecasting', 'Financial Analysis', 'Budgeting', 'Investment Modeling', 'SQL', 'Taxation']"
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Node.js, C++, CI/CD, Python with 4+ years experience.","Node.js, C++, CI/CD, Python",4,"cloud engineer role in technology requiring skills nodejs, c, cicd, python with 4 years experience","['Node.js', 'C++', 'CI/CD', 'Python']"
Instructional Designer,Education,"Instructional Designer role in Education requiring skills: Teaching, Research, Educational Technology, Communication with 6+ years experience.","Teaching, Research, Educational Technology, Communication",6,"instructional designer role in education requiring skills teaching, research, educational technology, communication with 6 years experience","['Teaching', 'Research', 'Educational Technology', 'Communication']"
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: Project Management, CAD, PLC Programming, AutoCAD, Python with 8+ years experience.","Project Management, CAD, PLC Programming, AutoCAD, Python",8,"electrical engineer role in engineering requiring skills project management, cad, plc programming, autocad, python with 8 years experience","['Project Management', 'CAD', 'PLC Programming', 'AutoCAD', 'Python']"
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Social Media, Email Marketing, Google Analytics with 10+ years experience.","Social Media, Email Marketing, Google Analytics",10,"marketing manager role in marketing requiring skills social media, email marketing, google analytics with 10 years experience","['Social Media', 'Email Marketing', 'Google Analytics']"
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Lead Generation, Business Development, Presentation Skills, Sales Strategy, CRM, Excel, Negotiation with 4+ years experience.","Lead Generation, Business Development, Presentation Skills, Sales Strategy, CRM, Excel, Negotiation",4,"sales manager role in sales requiring skills lead generation, business development, presentation skills, sales strategy, crm, excel, negotiation with 4 years experience","['Lead Generation', 'Business Development', 'Presentation Skills', 'Sales Strategy', 'CRM', 'Excel', 'Negotiation']"
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Patient Care, Biostatistics, Clinical Data Analysis, Python, Medical Terminology, Research, Healthcare Analytics with 2+ years experience.","Patient Care, Biostatistics, Clinical Data Analysis, Python, Medical Terminology, Research, Healthcare Analytics",2,"medical data analyst role in healthcare requiring skills patient care, biostatistics, clinical data analysis, python, medical terminology, research, healthcare analytics with 2 years experience","['Patient Care', 'Biostatistics', 'Clinical Data Analysis', 'Python', 'Medical Terminology', 'Research', 'Healthcare Analytics']"
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: C++, Project Management, CAD, Robotics, AutoCAD, PLC Programming with 8+ years experience.","C++, Project Management, CAD, Robotics, AutoCAD, PLC Programming",8,"electrical engineer role in engineering requiring skills c, project management, cad, robotics, autocad, plc programming with 8 years experience","['C++', 'Project Management', 'CAD', 'Robotics', 'AutoCAD', 'PLC Programming']"
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Cloud, Java, C++, Kubernetes with 9+ years experience.","Cloud, Java, C++, Kubernetes",9,"cloud engineer role in technology requiring skills cloud, java, c, kubernetes with 9 years experience","['Cloud', 'Java', 'C++', 'Kubernetes']"
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Docker, SQL, Node.js, Kubernetes, CI/CD, Java, Python with 8+ years experience.","Docker, SQL, Node.js, Kubernetes, CI/CD, Java, Python",8,"software engineer role in technology requiring skills docker, sql, nodejs, kubernetes, cicd, java, python with 8 years experience","['Docker', 'SQL', 'Node.js', 'Kubernetes', 'CI/CD', 'Java', 'Python']"
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: Microservices, Node.js, Java, C++, Docker with 9+ years experience.","Microservices, Node.js, Java, C++, Docker",9,"full stack developer role in technology requiring skills microservices, nodejs, java, c, docker with 9 years experience","['Microservices', 'Node.js', 'Java', 'C++', 'Docker']"
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: MATLAB, Project Management, PLC Programming with 5+ years experience.","MATLAB, Project Management, PLC Programming",5,"mechanical engineer role in engineering requiring skills matlab, project management, plc programming with 5 years experience","['MATLAB', 'Project Management', 'PLC Programming']"
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Agile, Project Management, Supply Chain, Logistics, Lean Six Sigma, Process Improvement, Excel with 6+ years experience.","Agile, Project Management, Supply Chain, Logistics, Lean Six Sigma, Process Improvement, Excel",6,"logistics coordinator role in operations requiring skills agile, project management, supply chain, logistics, lean six sigma, process improvement, excel with 6 years experience","['Agile', 'Project Management', 'Supply Chain', 'Logistics', 'Lean Six Sigma', 'Process Improvement', 'Excel']"
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Healthcare Analytics, Clinical Data Analysis, Patient Care, Research, Python, Medical Terminology, Biostatistics with 4+ years experience.","Healthcare Analytics, Clinical Data Analysis, Patient Care, Research, Python, Medical Terminology, Biostatistics",4,"medical data analyst role in healthcare requiring skills healthcare analytics, clinical data analysis, patient care, research, python, medical terminology, biostatistics with 4 years experience","['Healthcare Analytics', 'Clinical Data Analysis', 'Patient Care', 'Research', 'Python', 'Medical Terminology', 'Biostatistics']"
Lab Technician,Healthcare,"Lab Technician role in Healthcare requiring skills: Medical Terminology, Patient Care, Research, Clinical Data Analysis with 9+ years experience.","Medical Terminology, Patient Care, Research, Clinical Data Analysis",9,"lab technician role in healthcare requiring skills medical terminology, patient care, research, clinical data analysis with 9 years experience","['Medical Terminology', 'Patient Care', 'Research', 'Clinical Data Analysis']"
Auditor,Finance,"Auditor role in Finance requiring skills: Taxation, Budgeting, Excel, Accounting, SQL, Risk Management with 8+ years experience.","Taxation, Budgeting, Excel, Accounting, SQL, Risk Management",8,"auditor role in finance requiring skills taxation, budgeting, excel, accounting, sql, risk management with 8 years experience","['Taxation', 'Budgeting', 'Excel', 'Accounting', 'SQL', 'Risk Management']"
Account Executive,Sales,"Account Executive role in Sales requiring skills: Excel, Sales Strategy, Lead Generation with 4+ years experience.","Excel, Sales Strategy, Lead Generation",4,"account executive role in sales requiring skills excel, sales strategy, lead generation with 4 years experience","['Excel', 'Sales Strategy', 'Lead Generation']"
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: React, Java, Git with 8+ years experience.","React, Java, Git",8,"full stack developer role in technology requiring skills react, java, git with 8 years experience","['React', 'Java', 'Git']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Robotics, PLC Programming, Project Management, Python, SolidWorks with 10+ years experience.","Robotics, PLC Programming, Project Management, Python, SolidWorks",10,"robotics engineer role in engineering requiring skills robotics, plc programming, project management, python, solidworks with 10 years experience","['Robotics', 'PLC Programming', 'Project Management', 'Python', 'SolidWorks']"
Business Analyst,Data,"Business Analyst role in Data requiring skills: PyTorch, R, Excel with 7+ years experience.","PyTorch, R, Excel",7,"business analyst role in data requiring skills pytorch, r, excel with 7 years experience","['PyTorch', 'R', 'Excel']"
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: SQL, Java, C++ with 4+ years experience.","SQL, Java, C++",4,"qa engineer role in technology requiring skills sql, java, c with 4 years experience","['SQL', 'Java', 'C++']"
Project Manager,Operations,"Project Manager role in Operations requiring skills: Agile, Project Management, Process Improvement, Lean Six Sigma, Logistics, Supply Chain, Excel with 6+ years experience.","Agile, Project Management, Process Improvement, Lean Six Sigma, Logistics, Supply Chain, Excel",6,"project manager role in operations requiring skills agile, project management, process improvement, lean six sigma, logistics, supply chain, excel with 6 years experience","['Agile', 'Project Management', 'Process Improvement', 'Lean Six Sigma', 'Logistics', 'Supply Chain', 'Excel']"
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Excel, Sales Strategy, Negotiation, CRM with 6+ years experience.","Excel, Sales Strategy, Negotiation, CRM",6,"business development manager role in sales requiring skills excel, sales strategy, negotiation, crm with 6 years experience","['Excel', 'Sales Strategy', 'Negotiation', 'CRM']"
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Marketing Strategy, SEO, Excel, Brand Management with 7+ years experience.","Marketing Strategy, SEO, Excel, Brand Management",7,"marketing manager role in marketing requiring skills marketing strategy, seo, excel, brand management with 7 years experience","['Marketing Strategy', 'SEO', 'Excel', 'Brand Management']"
Data Scientist,Data,"Data Scientist role in Data requiring skills: Deep Learning, Tableau, Machine Learning with 5+ years experience.","Deep Learning, Tableau, Machine Learning",5,"data scientist role in data requiring skills deep learning, tableau, machine learning with 5 years experience","['Deep Learning', 'Tableau', 'Machine Learning']"
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Brand Management, Google Analytics, Content Marketing, Excel with 9+ years experience.","Brand Management, Google Analytics, Content Marketing, Excel",9,"digital marketing analyst role in marketing requiring skills brand management, google analytics, content marketing, excel with 9 years experience","['Brand Management', 'Google Analytics', 'Content Marketing', 'Excel']"
Data Scientist,Data,"Data Scientist role in Data requiring skills: Statistics, Big Data, Spark with 8+ years experience.","Statistics, Big Data, Spark",8,"data scientist role in data requiring skills statistics, big data, spark with 8 years experience","['Statistics', 'Big Data', 'Spark']"
Data Engineer,Data,"Data Engineer role in Data requiring skills: Python, Excel, Tableau, Machine Learning, PowerBI with 3+ years experience.","Python, Excel, Tableau, Machine Learning, PowerBI",3,"data engineer role in data requiring skills python, excel, tableau, machine learning, powerbi with 3 years experience","['Python', 'Excel', 'Tableau', 'Machine Learning', 'PowerBI']"
AI Researcher,Data,"AI Researcher role in Data requiring skills: Tableau, Big Data, Deep Learning, Python, NLP with 5+ years experience.","Tableau, Big Data, Deep Learning, Python, NLP",5,"ai researcher role in data requiring skills tableau, big data, deep learning, python, nlp with 5 years experience","['Tableau', 'Big Data', 'Deep Learning', 'Python', 'NLP']"
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Email Marketing, PPC, SEO with 8+ years experience.","Email Marketing, PPC, SEO",8,"marketing manager role in marketing requiring skills email marketing, ppc, seo with 8 years experience","['Email Marketing', 'PPC', 'SEO']"
Professor,Education,"Professor role in Education requiring skills: Teaching, Python, Communication, Educational Technology, Curriculum Design, Research with 4+ years experience.","Teaching, Python, Communication, Educational Technology, Curriculum Design, Research",4,"professor role in education requiring skills teaching, python, communication, educational technology, curriculum design, research with 4 years experience","['Teaching', 'Python', 'Communication', 'Educational Technology', 'Curriculum Design', 'Research']"
Accountant,Finance,"Accountant role in Finance requiring skills: Taxation, Financial Analysis, Budgeting, SQL, Risk Management, Excel, Forecasting with 6+ years experience.","Taxation, Financial Analysis, Budgeting, SQL, Risk Management, Excel, Forecasting",6,"accountant role in finance requiring skills taxation, financial analysis, budgeting, sql, risk management, excel, forecasting with 6 years experience","['Taxation', 'Financial Analysis', 'Budgeting', 'SQL', 'Risk Management', 'Excel', 'Forecasting']"
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Linux, CI/CD, Python, React, Kubernetes, Java with 5+ years experience.","Linux, CI/CD, Python, React, Kubernetes, Java",5,"software engineer role in technology requiring skills linux, cicd, python, react, kubernetes, java with 5 years experience","['Linux', 'CI/CD', 'Python', 'React', 'Kubernetes', 'Java']"
Education Consultant,Education,"Education Consultant role in Education requiring skills: Teaching, Communication, Curriculum Design, Educational Technology, Research, Python with 8+ years experience.","Teaching, Communication, Curriculum Design, Educational Technology, Research, Python",8,"education consultant role in education requiring skills teaching, communication, curriculum design, educational technology, research, python with 8 years experience","['Teaching', 'Communication', 'Curriculum Design', 'Educational Technology', 'Research', 'Python']"
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: Python, Robotics, MATLAB with 8+ years experience.","Python, Robotics, MATLAB",8,"industrial engineer role in engineering requiring skills python, robotics, matlab with 8 years experience","['Python', 'Robotics', 'MATLAB']"
Data Analyst,Data,"Data Analyst role in Data requiring skills: Excel, Pandas, Spark, NLP, PowerBI, SQL, Statistics with 10+ years experience.","Excel, Pandas, Spark, NLP, PowerBI, SQL, Statistics",10,"data analyst role in data requiring skills excel, pandas, spark, nlp, powerbi, sql, statistics with 10 years experience","['Excel', 'Pandas', 'Spark', 'NLP', 'PowerBI', 'SQL', 'Statistics']"
Education Consultant,Education,"Education Consultant role in Education requiring skills: Research, Educational Technology, Communication, Teaching, Curriculum Design with 2+ years experience.","Research, Educational Technology, Communication, Teaching, Curriculum Design",2,"education consultant role in education requiring skills research, educational technology, communication, teaching, curriculum design with 2 years experience","['Research', 'Educational Technology', 'Communication', 'Teaching', 'Curriculum Design']"
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Lean Six Sigma, Supply Chain, Logistics with 2+ years experience.","Lean Six Sigma, Supply Chain, Logistics",2,"supply chain analyst role in operations requiring skills lean six sigma, supply chain, logistics with 2 years experience","['Lean Six Sigma', 'Supply Chain', 'Logistics']"
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Sales Strategy, Lead Generation, CRM, Negotiation, Business Development, Presentation Skills, Excel with 2+ years experience.","Sales Strategy, Lead Generation, CRM, Negotiation, Business Development, Presentation Skills, Excel",2,"business development manager role in sales requiring skills sales strategy, lead generation, crm, negotiation, business development, presentation skills, excel with 2 years experience","['Sales Strategy', 'Lead Generation', 'CRM', 'Negotiation', 'Business Development', 'Presentation Skills', 'Excel']"
Professor,Education,"Professor role in Education requiring skills: Research, Curriculum Design, Communication, Python with 3+ years experience.","Research, Curriculum Design, Communication, Python",3,"professor role in education requiring skills research, curriculum design, communication, python with 3 years experience","['Research', 'Curriculum Design', 'Communication', 'Python']"
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: SolidWorks, Python, Project Management, Robotics, MATLAB, CAD, C++ with 4+ years experience.","SolidWorks, Python, Project Management, Robotics, MATLAB, CAD, C++",4,"automation engineer role in engineering requiring skills solidworks, python, project management, robotics, matlab, cad, c with 4 years experience","['SolidWorks', 'Python', 'Project Management', 'Robotics', 'MATLAB', 'CAD', 'C++']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: SolidWorks, Robotics, MATLAB, AutoCAD, C++, PLC Programming, Project Management with 5+ years experience.","SolidWorks, Robotics, MATLAB, AutoCAD, C++, PLC Programming, Project Management",5,"robotics engineer role in engineering requiring skills solidworks, robotics, matlab, autocad, c, plc programming, project management with 5 years experience","['SolidWorks', 'Robotics', 'MATLAB', 'AutoCAD', 'C++', 'PLC Programming', 'Project Management']"
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Negotiation, Excel, Lead Generation, Presentation Skills, Sales Strategy with 8+ years experience.","Negotiation, Excel, Lead Generation, Presentation Skills, Sales Strategy",8,"business development manager role in sales requiring skills negotiation, excel, lead generation, presentation skills, sales strategy with 8 years experience","['Negotiation', 'Excel', 'Lead Generation', 'Presentation Skills', 'Sales Strategy']"
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: C++, CI/CD, React, SQL with 4+ years experience.","C++, CI/CD, React, SQL",4,"software engineer role in technology requiring skills c, cicd, react, sql with 4 years experience","['C++', 'CI/CD', 'React', 'SQL']"
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: SQL, Investment Modeling, Excel, Financial Analysis, Accounting with 8+ years experience.","SQL, Investment Modeling, Excel, Financial Analysis, Accounting",8,"financial analyst role in finance requiring skills sql, investment modeling, excel, financial analysis, accounting with 8 years experience","['SQL', 'Investment Modeling', 'Excel', 'Financial Analysis', 'Accounting']"
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: AutoCAD, SolidWorks, Python, CAD, Robotics with 8+ years experience.","AutoCAD, SolidWorks, Python, CAD, Robotics",8,"industrial engineer role in engineering requiring skills autocad, solidworks, python, cad, robotics with 8 years experience","['AutoCAD', 'SolidWorks', 'Python', 'CAD', 'Robotics']"
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Python, Patient Care, Medical Terminology, Clinical Data Analysis with 9+ years experience.","Python, Patient Care, Medical Terminology, Clinical Data Analysis",9,"biostatistician role in healthcare requiring skills python, patient care, medical terminology, clinical data analysis with 9 years experience","['Python', 'Patient Care', 'Medical Terminology', 'Clinical Data Analysis']"
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Medical Terminology, Clinical Data Analysis, Patient Care, Python with 8+ years experience.","Medical Terminology, Clinical Data Analysis, Patient Care, Python",8,"medical data analyst role in healthcare requiring skills medical terminology, clinical data analysis, patient care, python with 8 years experience","['Medical Terminology', 'Clinical Data Analysis', 'Patient Care', 'Python']"
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: SEO, PPC, Excel, Marketing Strategy, Google Analytics, Brand Management with 6+ years experience.","SEO, PPC, Excel, Marketing Strategy, Google Analytics, Brand Management",6,"marketing manager role in marketing requiring skills seo, ppc, excel, marketing strategy, google analytics, brand management with 6 years experience","['SEO', 'PPC', 'Excel', 'Marketing Strategy', 'Google Analytics', 'Brand Management']"
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: Linux, Java, CI/CD, C++, Python with 7+ years experience.","Linux, Java, CI/CD, C++, Python",7,"devops engineer role in technology requiring skills linux, java, cicd, c, python with 7 years experience","['Linux', 'Java', 'CI/CD', 'C++', 'Python']"
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Project Management, Supply Chain, Agile, Process Improvement, Logistics, Lean Six Sigma with 7+ years experience.","Project Management, Supply Chain, Agile, Process Improvement, Logistics, Lean Six Sigma",7,"logistics coordinator role in operations requiring skills project management, supply chain, agile, process improvement, logistics, lean six sigma with 7 years experience","['Project Management', 'Supply Chain', 'Agile', 'Process Improvement', 'Logistics', 'Lean Six Sigma']"
Data Engineer,Data,"Data Engineer role in Data requiring skills: R, Tableau, PyTorch, TensorFlow, PowerBI, Spark, NLP with 6+ years experience.","R, Tableau, PyTorch, TensorFlow, PowerBI, Spark, NLP",6,"data engineer role in data requiring skills r, tableau, pytorch, tensorflow, powerbi, spark, nlp with 6 years experience","['R', 'Tableau', 'PyTorch', 'TensorFlow', 'PowerBI', 'Spark', 'NLP']"
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Presentation Skills, Negotiation, Excel, Sales Strategy, CRM, Lead Generation with 2+ years experience.","Presentation Skills, Negotiation, Excel, Sales Strategy, CRM, Lead Generation",2,"sales manager role in sales requiring skills presentation skills, negotiation, excel, sales strategy, crm, lead generation with 2 years experience","['Presentation Skills', 'Negotiation', 'Excel', 'Sales Strategy', 'CRM', 'Lead Generation']"
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Agile, Supply Chain, Lean Six Sigma, Excel, Process Improvement with 10+ years experience.","Agile, Supply Chain, Lean Six Sigma, Excel, Process Improvement",10,"operations manager role in operations requiring skills agile, supply chain, lean six sigma, excel, process improvement with 10 years experience","['Agile', 'Supply Chain', 'Lean Six Sigma', 'Excel', 'Process Improvement']"
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: SQL, Node.js, Python, C++, Linux with 3+ years experience.","SQL, Node.js, Python, C++, Linux",3,"software engineer role in technology requiring skills sql, nodejs, python, c, linux with 3 years experience","['SQL', 'Node.js', 'Python', 'C++', 'Linux']"
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Google Analytics, Social Media, PPC with 6+ years experience.","Google Analytics, Social Media, PPC",6,"digital marketing analyst role in marketing requiring skills google analytics, social media, ppc with 6 years experience","['Google Analytics', 'Social Media', 'PPC']"
Instructional Designer,Education,"Instructional Designer role in Education requiring skills: Research, Educational Technology, Python, Communication, Teaching, Curriculum Design with 2+ years experience.","Research, Educational Technology, Python, Communication, Teaching, Curriculum Design",2,"instructional designer role in education requiring skills research, educational technology, python, communication, teaching, curriculum design with 2 years experience","['Research', 'Educational Technology', 'Python', 'Communication', 'Teaching', 'Curriculum Design']"
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Investment Modeling, Budgeting, Risk Management, Excel, SQL, Financial Analysis, Taxation with 2+ years experience.","Investment Modeling, Budgeting, Risk Management, Excel, SQL, Financial Analysis, Taxation",2,"investment analyst role in finance requiring skills investment modeling, budgeting, risk management, excel, sql, financial analysis, taxation with 2 years experience","['Investment Modeling', 'Budgeting', 'Risk Management', 'Excel', 'SQL', 'Financial Analysis', 'Taxation']"
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: Linux, Cloud, React, Java with 3+ years experience.","Linux, Cloud, React, Java",3,"qa engineer role in technology requiring skills linux, cloud, react, java with 3 years experience","['Linux', 'Cloud', 'React', 'Java']"
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: C++, SQL, Node.js, Git, Cloud, Docker, Kubernetes with 3+ years experience.","C++, SQL, Node.js, Git, Cloud, Docker, Kubernetes",3,"frontend developer role in technology requiring skills c, sql, nodejs, git, cloud, docker, kubernetes with 3 years experience","['C++', 'SQL', 'Node.js', 'Git', 'Cloud', 'Docker', 'Kubernetes']"
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: PLC Programming, Python, AutoCAD, SolidWorks, CAD, Project Management, Robotics with 6+ years experience.","PLC Programming, Python, AutoCAD, SolidWorks, CAD, Project Management, Robotics",6,"electrical engineer role in engineering requiring skills plc programming, python, autocad, solidworks, cad, project management, robotics with 6 years experience","['PLC Programming', 'Python', 'AutoCAD', 'SolidWorks', 'CAD', 'Project Management', 'Robotics']"
